"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","18-MAY-17","16-MAY-17","20:30:00Z","ATLANTIC OCEAN 35 NE ROCK SOUND, BH","ATLANTIC OCEAN","UNITED STATES","AIRCRAFT WAS NORTHWEST BOUND FROM AGUADILL, PR TO TITUSVILLE, FL WHEN MIAMI CENTER LOST RADAR AND RADIO COMMUNICATIONS WITH AIRCRAFT. DEBRIS HAS BEEN FOUND.","ACCIDENT","SJU","N220N","","","MITSUBISHI","2","No","DESTROYED","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","18-MAY-17","17-MAY-17","22:40:00Z","AUSTIN","NEVADA","UNITED STATES","A/C FLIPPED OVER ON LANDING.","ACCIDENT","R FSDONO","N1111E","","","CUB CRAFTERS","SUPER CUB SPORT","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","18-MAY-17","17-MAY-17","19:03:00Z","GRAND PRAIRIE","TEXAS","UNITED STATES","CEAR COLLAPSED AFTER LANDING.","INCIDENT","DAL FSDO","N2904B","","","BEECH","35","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","UNKNOWN","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","19-MAY-17","18-MAY-17","19:00:00Z","GENEVA","ALABAMA","UNITED STATES","AIRCRAFT LANDED GEAR UP IN A FIELD AFTER EXPERIENCING AND ENGINE FAILURE, GENEVA, AL.","ACCIDENT","BIRMINGHAM","N301RS","","","CESSNA","210","No","SUBSTANTIAL","PERSONAL","EMERGENCY DESCENT (EMG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","19-MAY-17","18-MAY-17","23:48:00Z","ST PAUL","MINNESOTA","UNITED STATES","AIRCRAFT EXPERIENCED A BIRD STRIKE ON TAKE OFF, ST PAUL, MN.","INCIDENT","MINNEAPOLIS","N62MB","","WEST BEND AIR INC","LEAR/BOMBARDIER","35","No","MINOR","COMMERCIAL","TAKEOFF (TOF)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","14:30:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT ON TAXI STRUCK A TAXIWAY LIGHT, ORLANDO, FL","INCIDENT","ORLANDO","N6002L","","","BEECH","BE76","No","MINOR","INSTRUCTION","TAXI (TXI)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","09-MAY-17","08-MAY-17","21:00:00Z","NORTH LAS VEGAS","NEVADA","UNITED STATES","AIRCRAFT ON LANDING, GEAR COLLAPSED, NORTH LAS VEGAS, NV  UPDATE: MINOR DAMAGE INCIDENT","INCIDENT","LAS VEGAS","N3787","","","BEECH","BE95","No","MINOR","INSTRUCTION","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","29-APR-17","17:30:00Z","PRESIDIO","TEXAS","UNITED STATES","AIRCRAFT LANDED GEAR UP, PRESIDIO, TX   DELAYED REPORT.","INCIDENT","LUBBOCK","N802GA","","","PIPER","PA31","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","13:34:00Z","TRAVERSE CITY","MICHIGAN","UNITED STATES","AIRCRAFT FLOATPLANE LANDED ON THE WATER AND FLIPPED OVER, CEDAR LAKE NEAR TRAVERSE CITY, MI","INCIDENT","GRAND RAPIDS","N125MS","","","AVIAT","A-1B","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAY-17","10-MAY-17","00:00:00Z","DAVENPORT","IOWA","UNITED STATES","AIRCRAFT LANDED GEAR UP, DAVENPORT, IA","INCIDENT","DES MOINES","N9251M","","","MOONEY","M20C","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
